tripduration,date,start,stop,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
425,4/1/2017,12:47 PM,12:55 PM,3267,Morris Canal,40.71241882,-74.03852552,3202,Newport PATH,40.7272235,-74.0337589,24549,Subscriber,1974,Male
1053,4/1/2017,12:48 PM,1:05 PM,3193,Lincoln Park,40.7246051,-74.07840595,3193,Lincoln Park,40.7246051,-74.07840595,26252,Subscriber,1971,Male
278,4/1/2017,12:49 PM,12:54 PM,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,26169,Subscriber,1976,Male
1318,4/1/2017,12:50 PM,1:12 PM,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,26285,Subscriber,1990,Male
160,4/1/2017,12:50 PM,12:52 PM,3187,Warren St,40.7211236,-74.03805095,3275,Columbus Drive,40.7183552,-74.03891444,26231,Subscriber,1968,Male
199,4/1/2017,12:51 PM,12:55 PM,3273,Manila & 1st,40.72165072,-74.04288411,3278,Monmouth and 6th,40.72568548,-74.04879034,26214,Subscriber,1987,Female
185,4/1/2017,12:51 PM,12:55 PM,3273,Manila & 1st,40.72165072,-74.04288411,3278,Monmouth and 6th,40.72568548,-74.04879034,24713,Subscriber,1984,Female
2891,4/1/2017,12:55 PM,1:43 PM,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,24520,Customer,NULL,N/A
352,4/1/2017,12:59 PM,1:05 PM,3276,Marin Light Rail,40.71458404,-74.04281706,3183,Exchange Place,40.7162469,-74.0334588,24463,Subscriber,1975,Male
1986,4/1/2017,1:00 PM,1:33 PM,3271,Danforth Light Rail,40.69263997,-74.08801228,3183,Exchange Place,40.7162469,-74.0334588,24659,Subscriber,1994,Male
831,4/1/2017,1:04 PM,1:18 PM,3203,Hamilton Park,40.72759597,-74.04424731,3214,Essex Light Rail,40.7127742,-74.0364857,29229,Subscriber,1956,Male
139,4/1/2017,1:07 PM,1:09 PM,3280,Astor Place,40.7192822,-74.07126188,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,29296,Subscriber,1983,Male
585,4/1/2017,1:11 PM,1:20 PM,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.72759597,-74.04424731,26152,Subscriber,1988,Female
529,4/1/2017,1:11 PM,1:20 PM,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.72759597,-74.04424731,26200,Subscriber,1980,Male
191,4/1/2017,1:12 PM,1:15 PM,3203,Hamilton Park,40.72759597,-74.04424731,3272,Jersey & 3rd,40.72333159,-74.04595256,26253,Subscriber,1991,Male
160,4/1/2017,1:14 PM,1:17 PM,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,26316,Subscriber,1990,Male
199,4/1/2017,1:15 PM,1:18 PM,3187,Warren St,40.7211236,-74.03805095,3186,Grove St PATH,40.71958612,-74.04311746,26160,Subscriber,1984,Male
470,4/1/2017,1:22 PM,1:30 PM,3213,Van Vorst Park,40.71848892,-74.04772663,3192,Liberty Light Rail,40.7112423,-74.0557013,29277,Subscriber,1980,Female
